Restaurant,Food Item,Serving Size,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Proteins,Vitamin A,Vitamin C,Calcium,Iron
"""Sweetgreen""","""Local Goat Cheese""","""1 serving ( 34 g )""",90,63,7,5,0,15,160,0,0,0,6,,,,
"""Sweetgreen""","""Miso Sesame Ginger Dressing""","""1 serving ( 30 g )""",160,153,17,2,0,0,310,3,0,2,1,,,,
"""Sweetgreen""","""Organic Arugula, Full Portion""","""1 serving ( 95 g )""",25,9,1,0,0,0,25,3,2,2,2,,,,
"""Sweetgreen""","""Organic Arugula, Half Portion""","""1 serving ( 48 g )""",15,9,1,0,0,0,10,2,1,1,1,,,,
"""Sweetgreen""","""Organic Baby Spinach, Full Portion""","""1 serving ( 105 g )""",25,0,0,0,0,0,80,4,2,0,2,,,,
"""Sweetgreen""","""Organic Baby Spinach, Half Portion""","""1 serving ( 53 g )""",15,0,0,0,0,0,40,2,1,0,1,,,,
"""Sweetgreen""","""Organic Carrots""","""1 serving ( 23 g )""",10,0,0,0,0,0,15,2,0,1,0,,,,
"""Sweetgreen""","""Organic Mesclun, Full Portion""","""1 serving ( 95 g )""",20,0,0,0,0,0,0,0,0,0,0,,,,
"""Sweetgreen""","""Organic Mesclun, Half Portion""","""1 serving ( 48 g )""",10,0,0,0,0,0,0,0,0,0,0,,,,
"""Sweetgreen""","""Organic Wild Rice""","""1 serving ( 95 g )""",190,18,2,0,0,0,90,26,2,1,5,,,,
"""Sweetgreen""","""Parmesan Crisp""","""1 serving ( 20 g )""",100,63,7,5,0,20,430,0,0,0,10,,,,
"""Sweetgreen""","""Pears""","""1 serving ( 30 g )""",30,0,0,0,0,0,0,5,1,3,1,,,,
"""Sweetgreen""","""Pesto Vinaigrette""","""1 serving ( 30 g )""",150,144,16,2,0,0,190,1,0,0,0,,,,
"""Sweetgreen""","""Raisins""","""1 serving ( 14 g )""",40,0,0,0,0,0,0,11,1,8,0,,,,
"""Sweetgreen""","""Raw Beets""","""1 serving ( 40 g )""",15,0,0,0,0,0,30,4,1,3,0,,,,
"""Sweetgreen""","""Raw Corn""","""1 serving ( 36 g )""",35,9,1,0,0,0,0,7,1,2,2,,,,
"""Sweetgreen""","""Red Onion""","""1 serving ( 7 g )""",5,0,0,0,0,0,0,1,0,0,0,,,,
"""Sweetgreen""","""Roasted Brussels Sprouts""","""1 serving ( 20 g )""",20,9,1,0,0,0,55,1,1,1,1,,,,
"""Sweetgreen""","""Roasted Chicken""","""1 serving ( 78 g )""",110,45,5,1,0,70,310,0,0,0,22,,,,
"""Sweetgreen""","""Roasted Koginut Squash""","""1 serving ( 100 g )""",60,18,2,0,0,0,150,12,2,2,1,,,,
"""Sweetgreen""","""Roasted Sesame Tofu""","""1 serving ( 75 g )""",160,81,9,1,0,0,310,2,0,0,9,,,,
"""Sweetgreen""","""Roasted Squash Fries""","""1 serving ( 147 g )""",200,126,14,5,0,20,430,17,2,3,7,,,,
"""Sweetgreen""","""Roasted Steelhead""","""1 serving ( 86 g )""",150,36,4,5,0,20,280,0,0,0,15,,,,
"""Sweetgreen""","""Roasted Sweet Potatoes""","""1 serving ( 39 g )""",40,9,1,0,0,0,150,8,1,2,1,,,,
"""Sweetgreen""","""Salami""","""1 serving ( 28 g )""",110,81,9,4,0,20,450,0,0,0,5,,,,
"""Sweetgreen""","""Shaved Parmesan""","""1 serving ( 12 g )""",45,36,4,2,0,0,150,0,0,0,4,,,,
"""Sweetgreen""","""Shredded Cabbage""","""1 serving ( 25 g )""",10,0,0,0,0,0,5,2,1,1,0,,,,
"""Sweetgreen""","""Shredded Kale, Full Portion""","""1 serving ( 85 g )""",40,9,1,0,0,0,30,7,3,2,4,,,,
"""Sweetgreen""","""Shredded Kale, Half Portion""","""1 serving ( 43 g )""",20,9,1,0,0,0,15,4,2,1,2,,,,
"""Sweetgreen""","""Shroomami Bowl""","""1 serving ( 408 g )""",690,351,39,4,0,0,1080,47,7,10,22,,,,
"""Sweetgreen""","""Smoked Goat Cheese Dip""","""1 serving ( 42 g )""",130,108,12,5,0,20,280,1,0,1,5,,,,
"""Sweetgreen""","""Spicy Broccoli""","""1 serving ( 33 g )""",25,18,2,0,0,0,110,2,1,0,1,,,,
"""Sweetgreen""","""Spicy Cashew Dressing""","""1 serving ( 30 g )""",150,126,14,2,0,0,220,6,0,2,2,,,,
"""Sweetgreen""","""Spicy Sunflower Seeds""","""1 serving ( 13 g )""",70,54,6,1,0,0,55,3,1,0,2,,,,
"""Sweetgreen""","""Spicy Thai Salad""","""1 serving ( 369 g )""",460,279,31,4,0,0,610,26,6,8,17,,,,
